name,address,longitude,latitude,date
Exposition Formes de la ruine,Musée des Beaux-Arts de Lyon - 69001 LYON,4.8336451,45.7667047,16-02-2024
Exposition Formes de la ruine,Musée des Beaux-Arts de Lyon - 69001 LYON,4.8336451,45.7667047,17-02-2024
Exposition Formes de la ruine,Musée des Beaux-Arts de Lyon - 69001 LYON,4.8336451,45.7667047,18-02-2024
Exposition Formes de la ruine,Musée des Beaux-Arts de Lyon - 69001 LYON,4.8336451,45.7667047,19-02-2024
Exposition Formes de la ruine,Musée des Beaux-Arts de Lyon - 69001 LYON,4.8336451,45.7667047,20-02-2024
Exposition Formes de la ruine,Musée des Beaux-Arts de Lyon - 69001 LYON,4.8336451,45.7667047,21-02-2024
Exposition Formes de la ruine,Musée des Beaux-Arts de Lyon - 69001 LYON,4.8336451,45.7667047,22-02-2024
Exposition Formes de la ruine,Musée des Beaux-Arts de Lyon - 69001 LYON,4.8336451,45.7667047,23-02-2024
Exposition Formes de la ruine,Musée des Beaux-Arts de Lyon - 69001 LYON,4.8336451,45.7667047,24-02-2024
Exposition Formes de la ruine,Musée des Beaux-Arts de Lyon - 69001 LYON,4.8336451,45.7667047,25-02-2024
Exposition Formes de la ruine,Musée des Beaux-Arts de Lyon - 69001 LYON,4.8336451,45.7667047,26-02-2024
Exposition Formes de la ruine,Musée des Beaux-Arts de Lyon - 69001 LYON,4.8336451,45.7667047,27-02-2024
Exposition Formes de la ruine,Musée des Beaux-Arts de Lyon - 69001 LYON,4.8336451,45.7667047,28-02-2024
Exposition Formes de la ruine,Musée des Beaux-Arts de Lyon - 69001 LYON,4.8336451,45.7667047,29-02-2024
Exposition Formes de la ruine,Musée des Beaux-Arts de Lyon - 69001 LYON,4.8336451,45.7667047,01-03-2024
Exposition Formes de la ruine,Musée des Beaux-Arts de Lyon - 69001 LYON,4.8336451,45.7667047,02-03-2024
Exposition Formes de la ruine,Musée des Beaux-Arts de Lyon - 69001 LYON,4.8336451,45.7667047,03-03-2024
Exposition À nos amours,Musée des confluences - 69002 LYON,4.8181607,45.7326778,20-10-2023
Exposition À nos amours,Musée des confluences - 69002 LYON,4.8181607,45.7326778,21-10-2023
Exposition À nos amours,Musée des confluences - 69002 LYON,4.8181607,45.7326778,22-10-2023
Exposition À nos amours,Musée des confluences - 69002 LYON,4.8181607,45.7326778,23-10-2023
Exposition À nos amours,Musée des confluences - 69002 LYON,4.8181607,45.7326778,24-10-2023
Exposition À nos amours,Musée des confluences - 69002 LYON,4.8181607,45.7326778,25-10-2023
